Country Name,Country Code,wb.above65_2019
West Bank and Gaza,PSE,3.1734124
Pacific island small states,PSS,4.627549976
Post-demographic dividend,PST,19.29206412
French Polynesia,PYF,8.68067615
Qatar,QAT,1.523163117
Romania,ROU,18.79006579
Russian Federation,RUS,15.09412523
Rwanda,RWA,3.028253062
South Asia,SAS,5.993904885
Saudi Arabia,SAU,3.4128866
Sudan,SDN,3.627317326
Senegal,SEN,3.098476445
Singapore,SGP,12.39312948
Solomon Islands,SLB,3.63080993
Sierra Leone,SLE,2.947736623
El Salvador,SLV,8.469582569
San Marino,SMR,
Somalia,SOM,2.889203812
Serbia,SRB,18.74050342
Sub-Saharan Africa (excluding high income),SSA,2.993393613
South Sudan,SSD,3.376805137
Sub-Saharan Africa,SSF,3.004114824
Small states,SST,6.126882042
Sao Tome and Principe,STP,2.960159214
Suriname,SUR,7.015129728
Slovak Republic,SVK,16.17236389
Slovenia,SVN,20.18628401
Sweden,SWE,20.19856962
Eswatini,SWZ,4.014789266
Sint Maarten (Dutch part),SXM,
Seychelles,SYC,7.805481947
Syrian Arab Republic,SYR,4.691855102
Turks and Caicos Islands,TCA,
Chad,TCD,2.491641623
East Asia & Pacific (IDA & IBRD countries),TEA,9.939574715
Europe & Central Asia (IDA & IBRD countries),TEC,12.87998715
Togo,TGO,2.887347591
Thailand,THA,12.40625033
Tajikistan,TJK,3.085961212
Turkmenistan,TKM,4.592425324
Latin America & the Caribbean (IDA & IBRD countries),TLA,8.515293914
Timor-Leste,TLS,4.286535114
Middle East & North Africa (IDA & IBRD countries),TMN,5.530502263
Tonga,TON,5.94196796
South Asia (IDA & IBRD),TSA,5.993904885
Sub-Saharan Africa (IDA & IBRD countries),TSS,3.004114824
Trinidad and Tobago,TTO,11.11820802
Tunisia,TUN,8.593468556
Turkey,TUR,8.726283826
Tuvalu,TUV,
Tanzania,TZA,2.620541103
Uganda,UGA,1.962550187
Ukraine,UKR,16.70499039
Upper middle income,UMC,10.02858736
Uruguay,URY,14.94124043
United States,USA,16.20960614
Uzbekistan,UZB,4.595215725
St. Vincent and the Grenadines,VCT,9.740570943
"Venezuela, RB",VEN,7.610990373
British Virgin Islands,VGB,
Virgin Islands (U.S.),VIR,19.87511714
Vietnam,VNM,7.553672942
Vanuatu,VUT,3.616088995
World,WLD,9.099122685
Samoa,WSM,4.933104005
Kosovo,XKX,
"Yemen, Rep.",YEM,2.902140675
South Africa,ZAF,5.415255608
Zambia,ZMB,2.115314738
Zimbabwe,ZWE,2.980608063
